paperid,institutionid,authorids,year
W3122717655,I172901346,['A5110958961'],2020
W4234099164,I172901346,['A5085691989'],2016
W4284675255,I172901346,['A5049816000'],2022
W2968300417,I172901346,['A5068847009'],2019
W3092584450,I172901346,['A5074860185'],2020
W2321581945,I172901346,['A5010084879'],2016
W2928353868,I172901346,['A5053351584' 'A5009703353' 'A5019647516'],2019
W4313898100,I172901346,['A5076569762' 'A5078601980'],2023
W2974196201,I172901346,"['A5071843867' 'A5020901673' 'A5112610965' 'A5013586617' 'A5052199905'
 'A5083037087' 'A5023423600']",2019
W2989851144,I172901346,['A5036363436'],2019
W4248308994,I172901346,['A5028983279'],2019
W2569432033,I172901346,['A5079728421'],2016
W2531591636,I172901346,['A5018067097' 'A5112229097'],2016
W2601966415,I172901346,['A5076938944' 'A5064289593'],2017
W3013534030,I172901346,['A5000475631' 'A5009703353' 'A5084654433' 'A5053351584' 'A5055700936'],2020
W3014879443,I172901346,['A5035160413' 'A5065111816' 'A5032882074' 'A5077707754'],2020
W3023738567,I172901346,['A5066515109'],2020
W3042238911,I172901346,['A5065810893'],2020
W3195419297,I172901346,['A5015280109' 'A5047731086' 'A5060867109' 'A5040647567'],2021
W4309009409,I172901346,['A5050889083' 'A5069283769' 'A5050495851'],2022
W3158718709,I172901346,['A5048292275'],2021
W3167139600,I172901346,['A5029315125'],2021
W3171015051,I172901346,['A5027522325' 'A5026875367'],2021
W4312334607,I172901346,"['A5018127680' 'A5005580025' 'A5020446410' 'A5030524298' 'A5032839488'
 'A5081024565']",2022
W4312659364,I172901346,['A5054309479'],2022
W4318819992,I172901346,['A5100368455'],2022
W4323647951,I172901346,['A5015011363'],2023
W4327633845,I172901346,['A5010475341'],2019
W2558736329,I172901346,['A5035247594'],2016
W3023313527,I172901346,['A5073569783' 'A5049765541'],2015
W4313572050,I172901346,['A5088610713'],2023
W4295328790,I172901346,['A5007924531'],2022
W4385430085,I172901346,['A5082993256' 'A5017991162'],2023
W4393043545,I172901346,['A5059457823' 'A5029763740' 'A5077272276'],2024
W4396731085,I172901346,['A5063649629'],2024
W4396742809,I172901346,['A5054047697'],2024
W4399724855,I172901346,['A5096165090' 'A5012530828'],2024
W4400919607,I172901346,['A5072374592' 'A5090960041' 'A5050889083' 'A5069283769'],2024
W4403587895,I172901346,['A5025151418'],2022
W2765257540,I172901346,['A5050889083'],2017
W2803030938,I172901346,['A5056790118' 'A5027522325'],2018
W2810380002,I172901346,['A5031215099'],2019
W2740018258,I172901346,['A5035075324'],2017
W2740332696,I172901346,['A5007917664'],2017
W2740460649,I172901346,['A5002015158'],2017
W2740550647,I172901346,['A5062300936' 'A5033306676'],2017
W2740691464,I172901346,['A5026352113'],2017
W3166755503,I172901346,['A5051190110' 'A5046561608' 'A5056482521'],2021
W3211574812,I172901346,['A5059936166'],2021
W2288845078,I172901346,['A5002486749'],2015
W2750125737,I172901346,['A5042736987'],2017
W2346322157,I172901346,['A5063623458' 'A5058872247' 'A5082981302' 'A5057683828'],2016
W2398006097,I172901346,['A5064964223' 'A5048924419'],2016
W3085602652,I172901346,['A5085148628'],2020
W2419284380,I172901346,['A5067675984' 'A5075040724'],2016
W2557350353,I172901346,['A5091716956'],2016
W3081532653,I172901346,['A5074738902' 'A5043077089' 'A5041550916'],2020
W4211174987,I172901346,['A5056018278'],2021
W4323863130,I172901346,['A5001115050' 'A5049468217'],2023
W3138476423,I172901346,['A5012187629'],2021
W4220753308,I172901346,['A5030983231'],2022
W4226095723,I172901346,['A5110256046' 'A5034766561' 'A5032527903' 'A5056018278' 'A5033507264'],2022
W1867601143,I172901346,['A5013815416' 'A5040657525' 'A5041650068'],2015
W2487879311,I172901346,['A5049666962' 'A5086360513'],2016
W2912428177,I172901346,['A5000956419'],2018
W2971893625,I172901346,['A5079721400'],2019
W3000251736,I172901346,['A5083498194' 'A5108108085'],2019
W3123510321,I172901346,['A5072894139' 'A5082735706' 'A5083624875'],2015
W3170401298,I172901346,['A5043073230'],2021
W3173706377,I172901346,['A5010719185' 'A5036437921'],2021
W3175073821,I172901346,['A5064095602'],2021
W3213242715,I172901346,['A5016020403' 'A5028272830'],2021
W4200434528,I172901346,['A5058530409'],2021
W4206155383,I172901346,['A5085464647'],2022
W4214670823,I172901346,['A5065281431' 'A5089667385'],2021
W4224223146,I172901346,['A5058956255' 'A5014561733'],2022
W4392701837,I172901346,['A5022529501' 'A5068847009' 'A5008804279'],2024
W1037988619,I172901346,['A5076765056'],2015
W4200578666,I172901346,['A5025018110'],2021
W4200601541,I172901346,['A5029102072' 'A5022540023'],2021
W4205261930,I172901346,['A5011097704'],2021
W4206778090,I172901346,['A5077771301'],2021
W2606505648,I172901346,['A5110960887' 'A5073569783' 'A5016425865'],2017
W2909022375,I172901346,['A5038934237'],2019
W2963941475,I172901346,['A5002615729'],2017
W2965070209,I172901346,['A5059782638'],2019
W3038812463,I172901346,['A5089077878'],2020
W3115742360,I172901346,['A5077048755' 'A5042378068' 'A5067283317' 'A5068685924'],2020
W4206900932,I172901346,['A5068346610'],2022
W4388276201,I172901346,['A5055255578'],2023
W4390273880,I172901346,['A5092537125'],2023
W2293145684,I172901346,['A5045172496' 'A5047807143' 'A5012913220'],2015
W2606087584,I172901346,['A5070474329' 'A5077164420' 'A5055163822' 'A5043379761' 'A5076623988'],2015
W2888962713,I172901346,['A5020061109'],2018
W2328775421,I172901346,['A5108166773' 'A5090663685' 'A5066009910'],2016
W2524715681,I172901346,['A5062216253' 'A5084120898'],2016
W2773955111,I172901346,['A5112073499'],2017
W2778377223,I172901346,['A5040616657'],2017
W2801058691,I172901346,['A5014043540' 'A5067193101' 'A5110691561' 'A5076775621'],2018
W2807667611,I172901346,['A5014086237' 'A5060671326' 'A5046499939' 'A5008111401' 'A5044130089'],2018
W2884733638,I172901346,['A5064101903'],2018
W2896888291,I172901346,['A5058256634' 'A5039089397' 'A5020546924'],2021
W2911930662,I172901346,['A5113882138'],2018
W2990913040,I172901346,['A5052387031'],2017
W3007173242,I172901346,['A5015122833'],2016
W3126532830,I172901346,['A5089772973' 'A5089536848' 'A5031197956' 'A5101869616'],2021
W3170284200,I172901346,['A5066078947'],2020
W4229077461,I172901346,['A5036857672' 'A5060809522'],2022
W4395669060,I172901346,"['A5063856037' 'A5079889148' 'A5076569605' 'A5068250596' 'A5086022271'
 'A5007459886' 'A5091997645' 'A5070606522']",2024
W1119990996,I172901346,['A5064095602'],2015
W2033478944,I172901346,['A5072742171'],2015
W4382366037,I172901346,['A5103240213' 'A5020936199' 'A5068622831'],2023
W4394968519,I172901346,['A5041058626'],2023
W2999384302,I172901346,"['A5056781490' 'A5080369888' 'A5044919322' 'A5081843697' 'A5007002544'
 'A5076505789' 'A5045151598']",2020
W3014582930,I172901346,"['A5033523646' 'A5029442414' 'A5001011772' 'A5090699168' 'A5039525963'
 'A5045499776' 'A5001797112']",2020
W3039925959,I172901346,"['A5050564375' 'A5090065037' 'A5035226117' 'A5056876879' 'A5024213827'
 'A5050611696' 'A5003839050' 'A5022917619']",2020
W3112714582,I172901346,['A5063649629'],2020
W4367557986,I172901346,['A5035832494'],2023
W2978324332,I172901346,"['A5019647516' 'A5001011772' 'A5013815416' 'A5071347106' 'A5043259342'
 'A5067001314' 'A5063649629' 'A5029524202']",2019
W3014811246,I172901346,['A5065316896' 'A5069384817'],2020
W3017663033,I172901346,['A5008530732'],2016
W4304944123,I172901346,"['A5073312481' 'A5030050057' 'A5028056691' 'A5009342784' 'A5043943946'
 'A5081157614' 'A5077364638']",2022
W2914819944,I172901346,['A5059654454' 'A5083501821' 'A5025217016'],2018
W2994703318,I172901346,['A5112863781'],2016
W3103536914,I172901346,"['A5070236829' 'A5033994797' 'A5059847066' 'A5081306441' 'A5001656559'
 'A5062156405']",2020
W1503831880,I172901346,['A5052346478'],2015
W3010599274,I172901346,"['A5015876222' 'A5067654679' 'A5058956255' 'A5036941019' 'A5057319470'
 'A5085306120' 'A5028396536' 'A5088359657']",2020
W2266590270,I172901346,['A5021924074'],2015
W3117053865,I172901346,['A5045667451' 'A5007161288' 'A5040823319' 'A5019509399' 'A5069303199'],2020
W4244902658,I172901346,['A5082446437' 'A5009485369'],2020
